en,de
Go.,Geh.
Run!,Lauf!
Wow!,Donnerwetter!
Help!,Hilfe!
Stop!,Stopp!
Wait.,Warte.
Do it.,Tue es.
Hello!,Sers!
I hid.,Ich versteckte mich.
I see.,Ich verstehe.
I try.,Ich probiere es.
I won.,Ich habe gewonnen.
Shoot!,Feuer!
Sorry?,Entschuldigung?
Ask me.,Fragen Sie mich!
Buy it.,Kauf’s!
Eat up.,Iss fertig!
Freeze!,Keine Bewegung!
Got it!,Verstanden!
Got it?,Kapiert?
He ran.,Er rannte.
Hop in.,Spring rein!
Hug me.,Umarme mich!
I fell.,Ich fiel hin.
I fell.,Ich bin gestürzt.
I know.,Ich weiß.
I paid.,Ich habe bezahlt.
I spit.,Ich spuckte.
I wept.,Ich weinte.
I'm 19.,Ich bin 19.
I'm up.,Ich bin wach.
No way!,Unmöglich!
No way!,Ausgeschlossen!
Really?,Echt?
Thanks.,Danke!
We won.,Wir haben gewonnen.
Ask Tom.,Fragen Sie Tom!
Be cool.,Entspann dich!
Be kind.,Sei nett!
Beat it.,Geh weg!
Beat it.,Verdufte!
Beat it.,Mach dich vom Acker!
Beat it.,Troll dich!
Beat it.,Mach ’ne Fliege!
Beat it.,Scher dich weg!
Burn it.,Verbrennt es!
Call me.,Ruf mich an.
Come on!,Komm!
Come on!,Macht schon!
Drop it!,Fallen lassen!
Get Tom.,Hol Tom.
Get out.,Geh raus.
Go away!,Hau ab!
Go away!,Mach dich fort!
Go away!,Verzieh dich!
Go away!,Zisch ab!
Go away!,Schwirr ab!
Go away!,Scher dich fort!
Go away.,Verpiss dich!
Go away.,Verdufte!
Go away.,Mach dich vom Acker!
Go away.,Troll dich!
Go away.,Mach ’ne Fliege!
Go away.,Scher dich weg!
Go home.,Geh nach Hause.
Goodbye!,Leb wohl!
Hang on!,Nicht nachlassen!
He left.,Er ist gegangen.
Help me.,Hilf mir.
Help us.,Helfen Sie uns!
Hit Tom.,Schlagt Tom!
Hold it!,Warte!
Hold it.,Bleiben Sie stehen!
How sad!,Das ist aber schade!
Hug Tom.,Umarmt Tom!
Hug Tom.,Drück Tom!
I cried.,Ich habe geweint.
I froze.,Ich fror.
I swore.,Ich habe geschworen.
I waved.,Ich habe gewunken.
I'm fat.,Ich bin fett.
I'm hot.,Mir ist heiß.
I'm new.,Ich bin neu.
I'm shy.,Ich bin schüchtern.
It's me!,Ich bin’s.
Join us.,Kommt mit.
Keep it.,Behalt sie!
Keep it.,Behalten Sie es!
Keep it.,Behaltet es!
Lie low.,Leg dich hin!
Lie low.,Leg dich nieder!
Lie low.,Legt euch hin!
Lock it.,Schließe sie ab.
Open it.,Öffne es!
Open up.,Mach auf!
Push it.,Drück drauf.
Show me.,Zeig's mir!
Stop it.,Hör auf.
Take it.,Nehmen Sie es.
Tom ate.,Tom aß.
Tom hid.,Thomas hat sich versteckt.
Tom won.,Tom hat gewonnen.
Wait up.,Wartet mal!
Wake up.,Wach auf!
Wash up.,Wasch dich.
We swam.,Wir schwammen.
Who ate?,Wer aß?
Who won?,Wer hat gewonnen?
You win.,Du hast gewonnen.
Am I fat?,Bin ich dick?
Be a man.,Sei ein Mann!
Be brave.,Seien Sie tapfer!
Be brief.,Fass dich kurz.
Be quiet.,Seid leise.
Call Tom.,Ruf Tom an!
Call Tom.,Ruft Tom an!
Catch me.,Fangen Sie mich!
Cool off!,Reg dich ab!
Don't go.,Geh nicht.
Find Tom.,Findet Tom.
Fix this.,Behebe das.
Get away!,Geh weg!
Get away!,Verschwinde!
Get away!,Zieh Leine!
Get away!,Verkrümele dich!
Get away!,Pack dich!
Get away!,Mach die Sause!
Get down!,Runter!
Get down.,Komm runter.
Get lost!,Verpiss dich!
Get lost!,Verdufte!
Get lost!,Mach dich vom Acker!
Get lost!,Troll dich!
Get lost!,Mach ’ne Fliege!
Get lost!,Scher dich weg!
Go ahead!,Nur zu!
Grab Tom.,Hol Tom.
Have fun.,Viel Spaß!
He tried.,Er versuchte es.
He's Tom.,Er ist Tom.
Help Tom.,Helfen Sie Tom!
How deep?,Wie tief?
How rude!,Wie unhöflich!
Hurry up.,Beeil dich!
I can go.,Ich kann gehen.
I did it.,Ich habe es geschafft.
I get by.,Ich komme zurecht.
I got it.,Ich habe es verstanden.
I had it.,Ich hatte es.
I jumped.,Ich bin gesprungen.
I nodded.,Ich nickte.
I prayed.,Ich betete.
I rested.,Ich rastete.
I smiled.,Ich lächelte.
I use it.,Ich benutze es.
I winked.,Ich zwinkerte.
I'll pay.,Ich werde zahlen.
I'm back.,Ich bin wieder da.
I'm busy.,Ich bin beschäftigt.
I'm deaf.,Ich bin taub.
I'm fine.,Mir geht's gut.
I'm free.,Ich bin frei.
I'm game.,Ich mache mit.
I'm home.,Ich bin zu Hause.
I'm mean.,Ich bin gemein.
I'm rich.,Ich bin reich.
I'm sure.,Ich bin sicher.
I'm tidy.,Ich bin ordentlich.
I'm weak.,Ich bin schwach.
It helps.,Das hilft.
It works.,Es klappt.
It's big.,Sie ist groß.
It's hot.,Es ist heiß.
It's new.,Es ist neu.
It's tea.,Das ist Tee.
Keep out.,Kein Zutritt.
Kill Tom.,Töten Sie Thomas!
Kiss Tom.,Küsst Tom!
Leave us.,Lass uns allein.
Let's go!,Auf geht's!
Let's go!,Lass uns losgehen.
Look out!,Vorsicht!
Save Tom.,Rette Tom!
She came.,Sie kam.
Sit down!,Setz dich!
Speak up!,Sprich lauter!
Stand up!,Steht auf!
Stop Tom.,Halte Tom auf!
Take Tom.,Nimm Tom.
Tell Tom.,Sagen Sie es Tom.
Tell Tom.,Sagt es Tom.
Terrific!,Wunderbar!
Tom came.,Tom ist gekommen.
Tom fell.,Tom fiel.
Tom knew.,Tom hat es gewusst.
Tom left.,Tom ging.
Tom lies.,Tom lügt.
Tom quit.,Tom hat aufgehört.
Tom spit.,Thomas hat gespuckt.
Tom went.,Tom ging.
Too late.,Zu spät.
Trust me.,Vertraue mir.
Try hard.,Versuch es richtig!
Use this.,Nimm das hier!
Watch me.,Schau mir zu.
Watch us.,Beobachten Sie uns.
Watch us.,Schauen Sie uns zu.
We agree.,Wir sind einverstanden.
We'll go.,Wir werden gehen.
What fun!,Was für ein Spaß!
Who came?,Wer ist gekommen?
Who fell?,Wer fiel?
Who quit?,Wer hat aufgehört?
Who swam?,Wer ist geschwommen?
Write me.,Schreiben Sie mir!
You lost.,Du hast verloren.
Am I dead?,Bin ich tot?
Be seated.,Setz dich!
Bless you.,Gesundheit.
Call home!,Rufen Sie zuhause an!
Calm down.,Beruhigen Sie sich!
Can we go?,Können wir gehen?
Catch Tom.,Fangen Sie Tom!
Chill out.,Entspann dich.
Come here.,Komm her!
Come home.,Komm heim!
Come soon.,Kommen Sie bald.
Do it now.,Mach es jetzt!
Don't cry.,Weine nicht!
Don't cry.,Weinen Sie nicht!
Don't lie.,Lüge nicht!
Excuse me.,Es tut mir leid.
Excuse me.,Entschuldigen Sie!
Fantastic!,Fantastisch!
Follow me.,Folge mir.
Forget it!,Vergiss es!
Forget it.,Das kannst du knicken.
Forget me.,Vergessen Sie mich!
Go for it.,Nur zu!
Go inside.,Geh rein!
Go to bed.,Geh schlafen!
Go to bed.,Geh ins Bett!
Goodnight.,Gute Nacht.
Grab that.,Hol das.
Have some.,Nimm dir davon.
He is old.,Er ist alt.
He's a DJ.,Er ist DJ.
He's good.,Er ist gut.
He's sexy.,Er ist sexy.
Head east.,Fahrt Richtung Osten.
Hold fire.,Nicht schießen!
Hold this.,Halten Sie das!
How is it?,Wie ist die Lage?
Humor Tom.,Lasst Tom doch seinen Willen.
I am sure.,Ich bin sicher.
I am well.,Mir geht es gut.
I can fly.,Ich kann fliegen.
I can ski.,Ich kann Ski fahren.
I cheated.,Ich habe geschummelt.
I coughed.,Ich habe gehustet.
I fainted.,Ich wurde ohnmächtig.
I frowned.,Ich runzelte die Stirn.
I get you.,"Ich verstehe, was du meinst."
I give in.,Ich gebe nach.
I got hot.,Mir wurde heiß.
I got you.,Ich habe dich.
I have it.,Ich habe es.
I hit Tom.,Ich schlug Tom.
I hung up.,Ich habe aufgelegt.
I knew it.,Ich wusste das.
I like it.,Es ist mir recht.
I love it.,Ich liebe es.
I may win.,Vielleicht gewinne ich.
I mean it.,Ich meine es ernst.
I met Tom.,Ich traf Tom.
I miss it.,Ich vermisse es.
I promise.,Ich verspreche es.
I retired.,Ich ging in Pension.
I saw him.,Ich habe ihn gesehen.
I saw you.,Ich habe euch gesehen.
I shouted.,Ich schrie.
I sped up.,Ich beschleunigte.
I took it.,Ich nahm es.
I want it.,Ich will es.
I was new.,Ich war neu.
I will go.,Ich gehe.
I'd do it.,Ich würde es tun.
I'll come.,Ich werde kommen.
I'll help.,Ich helfe.
I'll quit.,Ich werde aufhören.
I'll stay.,Ich werde bleiben.
I'll wait.,Ich werde warten.
I'm a man.,Ich bin ein Mann.
I'm a spy.,Ich bin Spionin.
I'm awake.,Ich bin wach.
I'm bored.,Mir ist langweilig.
I'm crazy.,Ich bin verrückt.
I'm drunk.,Ich bin blau.
I'm first.,Ich bin Erster.
I'm going.,Ich gehe jetzt.
I'm lying.,Ich lüge.
I'm picky.,Ich bin pingelig.
I'm ready.,Ich bin soweit.
I'm right.,Ich habe Recht.
I'm sorry.,Entschuldigung!
I'm tired.,Ich bin müde!
I'm upset.,Ich bin verärgert.
I'm wrong.,Ich liege falsch.
Ignore it.,Beachte es gar nicht!
Is Tom in?,Ist Tom da?
Is it Tom?,Ist das Tom?
Is it far?,Ist das weit?
Is it red?,Ist es rot?
It burned.,Es verbrannte.
It stinks.,Da ist doch was faul.
